Regla,Muestras,Precisión,Parsimonia,Cobertura,Gini,Sparsidad,Índices Muestras
si failures ≤ 0.50 y reason_reputation ≤ 0.50 y Fedu ≤ 1.50 entonces Reprobado,44,0.7,3,0.11,0.4163,0.33,"[38, 46, 50, 52, 59, 61, 64, 67, 83, 94, 106, 112, 114, 126, 155, 167, 214, 231, 242, 253, 261, 268, 281, 284, 289, 294, 304, 311, 313, 316, 321, 324, 325, 328, 332, 336, 350, 352, 354, 365, 369, 370, 377, 378]"
si failures ≤ 0.50 y reason_reputation ≤ 0.50 y Fedu > 1.50 entonces Aprobado,174,0.59,3,0.45,0.4831,0.33,"[2, 3, 4, 6, 7, 10, 11, 16, 17, 18, 19, 23, 24, 26, 27, 28, 29, 33, 34, 35, 36, 37, 39, 40, 41, 44, 45, 48, 51, 58, 60, 63, 65, 68, 69, 70, 71, 72, 80, 81, 84, 87, 89, 90, 91, 92, 98, 99, 101, 105, 107, 108, 109, 111, 113, 117, 118, 119, 120, 122, 123, 125, 128, 130, 131, 134, 135, 138, 139, 140, 142, 147, 148, 151, 152, 156, 157, 160, 161, 162, 169, 171, 172, 173, 176, 179, 182, 184, 186, 187, 191, 193, 195, 196, 198, 199, 201, 202, 207, 209, 211, 213, 216, 218, 219, 221, 223, 224, 225, 228, 229, 230, 232, 233, 234, 235, 236, 237, 238, 240, 244, 245, 246, 249, 252, 262, 263, 265, 266, 267, 271, 272, 275, 277, 279, 286, 287, 288, 290, 295, 296, 297, 298, 303, 307, 308, 309, 310, 315, 317, 319, 329, 331, 333, 334, 337, 339, 341, 344, 345, 347, 349, 351, 356, 358, 359, 361, 366, 368, 372, 379, 380, 382, 383]"
si failures ≤ 0.50 y reason_reputation > 0.50 y absences ≤ 13.50 entonces Aprobado,53,0.87,3,0.14,0.2293,0.33,"[0, 5, 12, 13, 20, 30, 32, 47, 49, 54, 55, 56, 62, 73, 74, 76, 82, 85, 88, 95, 100, 104, 110, 121, 136, 144, 149, 158, 164, 165, 166, 168, 170, 177, 181, 185, 188, 197, 200, 203, 204, 205, 212, 220, 239, 243, 247, 254, 256, 264, 269, 270, 274]"
si failures ≤ 0.50 y reason_reputation > 0.50 y absences > 13.50 entonces Reprobado,10,0.7,3,0.03,0.42,0.33,"[42, 43, 53, 75, 93, 127, 175, 280, 292, 320]"
si failures > 0.50 y absences ≤ 1.50 y reason_reputation ≤ 0.50 entonces Reprobado,43,0.95,3,0.11,0.0887,0.33,"[9, 14, 31, 57, 66, 96, 102, 124, 141, 178, 180, 194, 251, 255, 258, 259, 276, 278, 282, 283, 285, 293, 299, 302, 312, 314, 323, 326, 327, 330, 335, 338, 340, 342, 346, 348, 355, 357, 362, 363, 367, 371, 381]"
si failures > 0.50 y absences ≤ 1.50 y reason_reputation > 0.50 entonces Reprobado,6,0.67,3,0.02,0.4444,0.33,"[8, 25, 145, 183, 257, 375]"
si failures > 0.50 y absences > 1.50 y goout ≤ 2.50 entonces Aprobado,12,0.83,3,0.03,0.2778,0.33,"[1, 21, 77, 86, 103, 116, 143, 146, 226, 227, 250, 360]"
si failures > 0.50 y absences > 1.50 y goout > 2.50 entonces Reprobado,42,0.69,3,0.11,0.4274,0.33,"[15, 22, 78, 79, 97, 115, 129, 132, 133, 137, 150, 153, 154, 159, 163, 174, 189, 190, 192, 206, 208, 210, 215, 217, 222, 241, 248, 260, 273, 291, 300, 301, 305, 306, 318, 322, 343, 353, 364, 373, 374, 376]"
